ST,PUMA,PUMAID,AGEP,HISP,RAC1P,SEX
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,2,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,7,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,1,1,7,2
39,02900,3902900,2,1,7,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,2,1,2
39,02900,3902900,2,1,7,1
39,02900,3902900,1,1,7,2
39,02900,3902900,2,1,7,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,2,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,4,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,4,1
39,02900,3902900,2,1,4,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,2,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,1,1
39,02900,3902900,1,1,1,1
39,02900,3902900,2,1,2,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,1
39,02900,3902900,2,1,1,2
39,02900,3902900,1,1,7,1
39,02900,3902900,1,1,7,1
39,02900,3902900,2,1,1,2
